Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/,90149,32453,31108,15,120,0,0.00
/privacy-policy,31413,31704,31783,2,0,0,0.00
/contact-us,17884,17634,17837,1,3,0,0.00
/about-us,17787,3238,2707,53,0,0,0.00
/terms-and-conditions,11371,11401,11403,5,0,0,0.00
(not set),10467,4425,0,15,225,0,0.02
/demo,3611,3491,3400,9,83,0,0.02
/terms-conditions,2001,1975,1952,12,0,0,0.00
/resource/executives-guide-to-driving-growth-by-improving-supplier-performance,1245,1230,1223,2,0,0,0.00
/careers,1219,909,836,14,0,0,0.00
/resource/shielding-your-supply-chain-using-the-right-technology-to-mitigate-tariff-disruption-risks-on-demand-webinar,1217,1204,1191,2,0,0,0.00
/by-audience/supplier-spot,1154,812,731,18,4,0,0.00
/blog/early-peek-at-supply-volatility-in-q3,1097,1078,1082,6,0,0,0.00
/blog/on-time-delivery-metrics,932,803,799,28,0,0,0.00
/press-news,842,829,815,5,0,0,0.00
/automation,790,780,793,5,1,0,0.00
/blog/supplier-scorecard,714,615,602,36,0,0,0.00
/on-demand-webinar-from-chaos-to-control,686,678,696,2,0,0,0.00
/case-studies/prairie-machine,611,609,602,3,0,0,0.00
/blog,560,539,508,7,0,0,0.00
/blog/sourceday-partnership-with-sps-commerce-edi,512,509,506,1,0,0,0.00
/resource/from-chaos-to-control-building-predictable-supply-chains-in-unpredictable-times,512,498,492,27,21,0,0.04
/resources,497,413,337,26,0,0,0.00
/solutions/purchase-order-collaboration,447,351,254,43,2,0,0.00
/case-studies,384,264,217,41,0,0,0.00
/case-studies/titan-brands,383,381,370,3,0,0,0.00
/blog/achieving-supply-chain-excellence-a-blueprint-for-cfos-part-4-sourceday-supplier-engagement-a-change-agent-for-finance-teams,367,364,361,3,0,0,0.00
/by-audience/buyers,354,315,300,15,0,0,0.00
/blog/sourceday-item-performance-hub,352,345,334,4,0,0,0.00
/why-sourceday,350,303,230,26,0,0,0.00
/terms-conditions-terms-conditions-dec-2023/terms-conditions,330,329,324,16,0,0,0.00
/by-audience/head-of-it/integrations,278,264,227,21,1,0,0.00
/resource/jbt-aerotech,277,277,277,1,0,0,0.00
/blog/sourceday-announces-leadership-transition-michael-miller-appointed-ceo-and-fred-brown-named-chief-revenue-officer,275,267,257,11,0,0,0.00
/solutions/request-for-quote-collaboration,274,239,197,31,4,0,0.01
/blog/clear-to-build-and-your-supply-chain-what-you-need-to-know,267,250,245,37,0,0,0.00
/blog/managing-supply-chain-technology-integration,263,262,260,3,0,0,0.00
/platform,260,228,178,17,2,0,0.01
/partners,258,258,257,1,0,0,0.00
/resource/how-sportsman-boats-took-control-of-supply-chain-chaos,247,239,233,9,0,0,0.00
/blog/inbound-supply-chain-risk-assessment,241,213,205,28,0,0,0.00
/resource/netsuite-sourceday,227,9,7,8,0,0,0.00
/blog/purchase-order-management,222,211,207,48,0,0,0.00
/blog/sourceday-named-to-fast-companys-annual-list-of-the-worlds-most-innovative-companies-of-2025,220,216,204,5,0,0,0.00
/identify-reliable-materials-suppliers,206,198,196,19,0,0,0.00
/by-audience/head-of-supply-chain,204,195,178,10,2,0,0.00
/solutions,204,173,148,23,0,0,0.00
/blog/sourceday-debuts-supplier-reliability-and-supply-volatility-indexes,199,178,165,10,0,0,0.00
/blog/press-release-sourceday-secures-6-5-million-series-a-financing-from-leading-venture-firms,198,197,193,2,0,0,0.00
/blog/sourceday-and-epicor-join-forces-to-help-manufacturers-stay-ahead-of-disruptions,198,186,163,12,0,0,0.00
/blog/sourceday-named-inc-2024-best-in-business-ai-data,198,197,189,5,0,0,0.00
/supplier-spot,197,198,198,1,0,0,0.00
/case-studies/braunability,188,180,166,7,0,0,0.00
/by-audience/head-of-finance,187,187,182,4,0,0,0.00
/item-performance,186,180,171,6,0,0,0.00
/blog/sourceday-unveils-sourceday-intelligence,183,183,183,0,0,0,0.00
/resource/supply-volatility-index-fall-2025,182,168,159,14,0,0,0.00
/resource/demand-changes-impact-finance,179,7,7,9,0,0,0.00
/blog/sourceday-recognized-among-fast-companys-top-10-most-innovative-companies-in-logistics-for-2025,178,175,170,6,0,0,0.00
/solutions/supplier-scorecards,176,164,143,25,0,0,0.00
/blog/drawing-the-line-between-direct-and-indirect-spend,173,161,155,40,0,0,0.00
/blog/the-cost-of-downtime-when-parts-are-missing,173,165,166,15,0,0,0.00
/industry-solutions,172,134,116,8,0,0,0.00
/risk-management/supply-risk-mitigation,171,158,139,16,1,0,0.01
,165,131,0,18,2,0,0.01
/risk-management/sourceday-intelligence,164,152,136,14,0,0,0.00
/by-audience/head-of-it,160,156,147,21,0,0,0.00
/blog/supplier-portal-problems,157,128,125,59,0,0,0.00
/sourceday-intelligence,155,144,129,18,0,0,0.00
/top-supplier-kpis-manufacturers-distributors,152,137,133,34,0,0,0.00
/case-studies/rf-ideas-netsuite,147,145,142,8,0,0,0.00
/by-audience/head-of-operations,144,141,132,18,0,0,0.00
/roi-analysis-request,139,138,128,6,2,0,0.01
/case-studies/progress-rail-a-caterpillar-company,135,126,119,8,0,0,0.00
/blog/supplier-performance-metrics,133,120,117,30,0,0,0.00
/case-studies/ag-leader,128,108,89,22,0,0,0.00
/sourceday-named-inc-2024-best-in-business-ai-data,124,124,124,0,0,0,0.00
/supplier-reliability-index,123,111,104,16,0,0,0.00
/erp-partnerships,119,111,98,25,1,0,0.01
/case-studies/ares-tools,115,114,108,4,0,0,0.00
/integrations/netsuite,115,107,99,48,2,0,0.02
/industries/industrial-machinery,112,109,98,21,0,0,0.00
/integrations/epicor,112,81,70,67,6,0,0.04
/managing-costs-while-maintaining-service-levels,112,112,111,1,0,0,0.00
/inbound-supply-chain-visibility-importance-manufacturers-distributors,110,95,92,12,0,0,0.00
/industries/vehicle-manufacturing,102,97,94,11,0,0,0.00
/blog/managing-supplier-performance,100,95,92,22,0,0,0.00
/inbound-supply-chain-risk-assessment,100,89,82,22,0,0,0.00
/blog/vendor-scorecard,99,98,96,20,0,0,0.00
/industries/electronic-components,99,98,98,8,0,0,0.00
/ai-agents,98,95,70,26,0,0,0.00
/blog/what-is-continuity-of-supply-and-why-do-i-need-it,98,92,92,32,0,0,0.00
/pagead/aclk,89,89,89,0,0,0,0.00
/resource/intelligent-supply-risk-mitigation,89,86,79,9,0,0,0.00
/blog/enhancing-supply-chain-efficiency-through-collaboration-platforms,86,73,69,19,0,0,0.00
/blog/understanding-why-purchase-order-management-crucial-supply-chain-success,83,83,81,13,0,0,0.00
/industries/packaging-manufacturing,82,82,79,9,0,0,0.00
/blog/mastering-vendor-risk-assessments-a-guide-for-manufacturing-leaders,81,80,79,5,0,0,0.00
/case-studies/viking-yachts,76,76,72,5,0,0,0.00
/critical-role-supplier-reliability,76,70,66,20,0,0,0.00
/sourceday-announces-leadership-transition-michael-miller-appointed-ceo-and-fred-brown-named-chief-revenue-officer,76,71,63,6,0,0,0.00
/events-and-webinars,74,71,57,33,0,0,0.00
/blog/unlocking-supply-chain-efficiency-the-power-of-purchase-order-tracking-software,73,64,60,21,0,0,0.00
/case-studies/hubbardton-forge,67,66,66,2,0,0,0.00
